Requirement,Type
"Complete realigning and repairing bearings, repairing or replacing anchor bolts and re-grouting concrete pads and bearing areas within 6 months.",O&M
Complete permanent pavement patching of depressed cracks before September 15. ,O&M
"Complete pavement surface distress repairs to correct each deficiency within the maximum response times shown below.

Pavement Deficiency - Minimum Severity Level : Response Time
- Transverse Cracking - Single or multiple, moderate spalling, mean unsealed crack width greater than 5 mm as measured prior to June 15 : 90 days",O&M
"Complete pavement surface distress repairs to correct each deficiency within the maximum response times shown below.

Pavement Deficiency - Minimum Severity Level : Response Time
- Shoving - Longitudinal displacement of a localized area of the pavement surface causing rough ride : Before Sept.15",O&M
"Complete pavement surface distress repairs to correct each deficiency within the maximum response times shown below.

Pavement Deficiency - Minimum Severity Level : Response Time
- Pavement Edge Cracking - Single or multiple, moderate spalling, mean unsealed crack width greater than 5 mm as measured prior to June 15 : 90 days",O&M
"Complete pavement surface distress repairs to correct each deficiency within the maximum response times shown below.

Pavement Deficiency - Minimum Severity Level : Response Time
- Longitudinal Cracking - Single or multiple, moderate spalling, mean unsealed crack width greater than 5 mm as measured prior to June 15 : 90 days",O&M
"Complete pavement surface distress repairs to correct each deficiency within the maximum response times shown below.

Pavement Deficiency - Minimum Severity Level : Response Time
- Block Cracking - Interconnected cracks forming a complete block pattern with sides of 1 m or smaller, slight spalling and no pumping : Before Sept.15",O&M
"Complete pavement patching and routing and crack sealing to address safety issues within the maximum times shown below.

Pavement Deficiency: Response Time
- Pot-hole on ramps: 24 hrs

Notes: 
A digital photo and coordinates for each pothole shall be collected and delivered to the Ministry in a format compatible with their collection database. The pothole will also be flagged in accordance with the Ministry’s preservation policy and procedures standards.",O&M
"Complete pavement patching and routing and crack sealing to address safety issues within the maximum times shown below.

Pavement Deficiency: Response Time
- Pot-hole on ramp shoulders: 7 days

Notes: 
A digital photo and coordinates for each pothole shall be collected and delivered to the Ministry in a format compatible with their collection database. The pothole will also be flagged in accordance with the Ministry’s preservation policy and procedures standards.",O&M
"Complete pavement patching and routing and crack sealing to address safety issues within the maximum times shown below.

Pavement Deficiency: Response Time
- Pot-hole on paved Service Roads: 7 days

Notes: 
A digital photo and coordinates for each pothole shall be collected and delivered to the Ministry in a format compatible with their collection database. The pothole will also be flagged in accordance with the Ministry’s preservation policy and procedures standards.",O&M
"Complete pavement patching and routing and crack sealing to address safety issues within the maximum times shown below.

Pavement Deficiency: Response Time
- Pot-hole on paved Crossroads: 7 days

Notes: 
A digital photo and coordinates for each pothole shall be collected and delivered to the Ministry in a format compatible with their collection database. The pothole will also be flagged in accordance with the Ministry’s preservation policy and procedures standards.",O&M
"Complete pavement patching and routing and crack sealing to address safety issues within the maximum times shown below.

Pavement Deficiency: Response Time
- Pot-hole on mainline: 24 hrs

Notes: 
A digital photo and coordinates for each pothole shall be collected and delivered to the Ministry in a format compatible with their collection database. The pothole will also be flagged in accordance with the Ministry’s preservation policy and procedures standards.",O&M
"Complete pavement patching and routing and crack sealing to address safety issues within the maximum times shown below.

Pavement Deficiency: Response Time
- Pot-hole on mainline shoulders: 7 days

Notes: 
A digital photo and coordinates for each pothole shall be collected and delivered to the Ministry in a format compatible with their collection database. The pothole will also be flagged in accordance with the Ministry’s preservation policy and procedures standards.",O&M
"Complete pavement patching and routing and crack sealing to address safety issues within the maximum times shown below.

Pavement Deficiency: Response Time
- Distortions resulting in fair to poor car control presenting a safety hazard: 12 hrs

Notes: 
A digital photo and coordinates for each pothole shall be collected and delivered to the Ministry in a format compatible with their collection database. The pothole will also be flagged in accordance with the Ministry’s preservation policy and procedures standards.",O&M
